company_id,zone,timestamp,eur_per_mwh
company_1,zone_1,2026-03-01T00:00:00Z,53.18
company_1,zone_1,2026-03-01T01:00:00Z,49.29
company_1,zone_1,2026-03-01T02:00:00Z,42.23
company_1,zone_1,2026-03-01T03:00:00Z,38.6
company_1,zone_1,2026-03-01T04:00:00Z,58.45
company_1,zone_1,2026-03-01T05:00:00Z,51.14
company_1,zone_1,2026-03-01T06:00:00Z,62.88
company_1,zone_1,2026-03-01T07:00:00Z,57.28
company_1,zone_1,2026-03-01T08:00:00Z,53.14
company_1,zone_1,2026-03-01T09:00:00Z,77.57
company_1,zone_1,2026-03-01T10:00:00Z,64.41
company_1,zone_1,2026-03-01T11:00:00Z,45.27
company_1,zone_1,2026-03-01T12:00:00Z,73.88
company_1,zone_1,2026-03-01T13:00:00Z,79.25
company_1,zone_1,2026-03-01T14:00:00Z,61.68
company_1,zone_1,2026-03-01T15:00:00Z,75.61
company_1,zone_1,2026-03-01T16:00:00Z,58.92
company_1,zone_1,2026-03-01T17:00:00Z,78.38
company_1,zone_1,2026-03-01T18:00:00Z,63.48
company_1,zone_1,2026-03-01T19:00:00Z,52.45
company_1,zone_1,2026-03-01T20:00:00Z,67.33
company_1,zone_1,2026-03-01T21:00:00Z,58.02
company_1,zone_1,2026-03-01T22:00:00Z,44.36
company_1,zone_1,2026-03-01T23:00:00Z,51.72
company_1,zone_1,2026-03-02T00:00:00Z,53.31
company_1,zone_1,2026-03-02T01:00:00Z,45.97
company_1,zone_1,2026-03-02T02:00:00Z,40.66
company_1,zone_1,2026-03-02T03:00:00Z,51.44
company_1,zone_1,2026-03-02T04:00:00Z,56.23
company_1,zone_1,2026-03-02T05:00:00Z,40.15
company_1,zone_1,2026-03-02T06:00:00Z,52.25
company_1,zone_1,2026-03-02T07:00:00Z,61.51
company_1,zone_1,2026-03-02T08:00:00Z,60.57
company_1,zone_1,2026-03-02T09:00:00Z,72.76
company_1,zone_1,2026-03-02T10:00:00Z,76.59
company_1,zone_1,2026-03-02T11:00:00Z,50.1
company_1,zone_1,2026-03-02T12:00:00Z,66.04
company_1,zone_1,2026-03-02T13:00:00Z,52.38
company_1,zone_1,2026-03-02T14:00:00Z,97.53
company_1,zone_1,2026-03-02T15:00:00Z,58.13
company_1,zone_1,2026-03-02T16:00:00Z,60.68
company_1,zone_1,2026-03-02T17:00:00Z,76.68
company_1,zone_1,2026-03-02T18:00:00Z,55.36
company_1,zone_1,2026-03-02T19:00:00Z,51.91
company_1,zone_1,2026-03-02T20:00:00Z,60.73
company_1,zone_1,2026-03-02T21:00:00Z,61.35
company_1,zone_1,2026-03-02T22:00:00Z,62.14
company_1,zone_1,2026-03-02T23:00:00Z,54.97
company_1,zone_1,2026-03-03T00:00:00Z,45.03
company_1,zone_1,2026-03-03T01:00:00Z,67.83
company_1,zone_1,2026-03-03T02:00:00Z,33.17
company_1,zone_1,2026-03-03T03:00:00Z,35.15
company_1,zone_1,2026-03-03T04:00:00Z,46.79
company_1,zone_1,2026-03-03T05:00:00Z,34.36
company_1,zone_1,2026-03-03T06:00:00Z,45.96
company_1,zone_1,2026-03-03T07:00:00Z,60.03
company_1,zone_1,2026-03-03T08:00:00Z,89.15
company_1,zone_1,2026-03-03T09:00:00Z,51.03
company_1,zone_1,2026-03-03T10:00:00Z,56.15
company_1,zone_1,2026-03-03T11:00:00Z,54.61
company_1,zone_1,2026-03-03T12:00:00Z,71.51
company_1,zone_1,2026-03-03T13:00:00Z,85.22
company_1,zone_1,2026-03-03T14:00:00Z,57.1
company_1,zone_1,2026-03-03T15:00:00Z,86.14
company_1,zone_1,2026-03-03T16:00:00Z,69.12
company_1,zone_1,2026-03-03T17:00:00Z,62.34
company_1,zone_1,2026-03-03T18:00:00Z,66.34
company_1,zone_1,2026-03-03T19:00:00Z,54.87
company_1,zone_1,2026-03-03T20:00:00Z,35.93
company_1,zone_1,2026-03-03T21:00:00Z,57.08
company_1,zone_1,2026-03-03T22:00:00Z,60.23
company_1,zone_1,2026-03-03T23:00:00Z,50.76
company_1,zone_1,2026-03-04T00:00:00Z,46.44
company_1,zone_1,2026-03-04T01:00:00Z,60.8
company_1,zone_1,2026-03-04T02:00:00Z,34.31
company_1,zone_1,2026-03-04T03:00:00Z,50.98
company_1,zone_1,2026-03-04T04:00:00Z,40.55
company_1,zone_1,2026-03-04T05:00:00Z,61.82
company_1,zone_1,2026-03-04T06:00:00Z,53.33
company_1,zone_1,2026-03-04T07:00:00Z,63.7
company_1,zone_1,2026-03-04T08:00:00Z,62.62
company_1,zone_1,2026-03-04T09:00:00Z,67.77
company_1,zone_1,2026-03-04T10:00:00Z,51.2
company_1,zone_1,2026-03-04T11:00:00Z,69.36
company_1,zone_1,2026-03-04T12:00:00Z,82.08
company_1,zone_1,2026-03-04T13:00:00Z,69.24
company_1,zone_1,2026-03-04T14:00:00Z,82.86
company_1,zone_1,2026-03-04T15:00:00Z,78.72
company_1,zone_1,2026-03-04T16:00:00Z,71.74
company_1,zone_1,2026-03-04T17:00:00Z,42.56
company_1,zone_1,2026-03-04T18:00:00Z,59.73
company_1,zone_1,2026-03-04T19:00:00Z,58.28
company_1,zone_1,2026-03-04T20:00:00Z,84.68
company_1,zone_1,2026-03-04T21:00:00Z,57.66
company_1,zone_1,2026-03-04T22:00:00Z,55.97
company_1,zone_1,2026-03-04T23:00:00Z,52.16
company_1,zone_1,2026-03-05T00:00:00Z,64.86
company_1,zone_1,2026-03-05T01:00:00Z,47.89
company_1,zone_1,2026-03-05T02:00:00Z,38.28
company_1,zone_1,2026-03-05T03:00:00Z,46.01
company_1,zone_1,2026-03-05T04:00:00Z,47.9
company_1,zone_1,2026-03-05T05:00:00Z,68.83
company_1,zone_1,2026-03-05T06:00:00Z,49.7
company_1,zone_1,2026-03-05T07:00:00Z,56.58
company_1,zone_1,2026-03-05T08:00:00Z,61.29
company_1,zone_1,2026-03-05T09:00:00Z,52.55
company_1,zone_1,2026-03-05T10:00:00Z,61.55
company_1,zone_1,2026-03-05T11:00:00Z,71.31
company_1,zone_1,2026-03-05T12:00:00Z,79.53
company_1,zone_1,2026-03-05T13:00:00Z,53.4
company_1,zone_1,2026-03-05T14:00:00Z,71.73
company_1,zone_1,2026-03-05T15:00:00Z,64.29
company_1,zone_1,2026-03-05T16:00:00Z,63.91
company_1,zone_1,2026-03-05T17:00:00Z,63.97
company_1,zone_1,2026-03-05T18:00:00Z,62.81
company_1,zone_1,2026-03-05T19:00:00Z,63.62
company_1,zone_1,2026-03-05T20:00:00Z,67.02
company_1,zone_1,2026-03-05T21:00:00Z,59.08
company_1,zone_1,2026-03-05T22:00:00Z,71.37
company_1,zone_1,2026-03-05T23:00:00Z,48.01
company_1,zone_1,2026-03-06T00:00:00Z,40.01
company_1,zone_1,2026-03-06T01:00:00Z,41.99
company_1,zone_1,2026-03-06T02:00:00Z,56.13
company_1,zone_1,2026-03-06T03:00:00Z,61.65
company_1,zone_1,2026-03-06T04:00:00Z,44.77
company_1,zone_1,2026-03-06T05:00:00Z,62.12
company_1,zone_1,2026-03-06T06:00:00Z,70.91
company_1,zone_1,2026-03-06T07:00:00Z,54.01
company_1,zone_1,2026-03-06T08:00:00Z,46.08
company_1,zone_1,2026-03-06T09:00:00Z,58.5
company_1,zone_1,2026-03-06T10:00:00Z,61.4
company_1,zone_1,2026-03-06T11:00:00Z,48.78
company_1,zone_1,2026-03-06T12:00:00Z,67.66
company_1,zone_1,2026-03-06T13:00:00Z,46.75
company_1,zone_1,2026-03-06T14:00:00Z,58.71
company_1,zone_1,2026-03-06T15:00:00Z,44.75
company_1,zone_1,2026-03-06T16:00:00Z,58.3
company_1,zone_1,2026-03-06T17:00:00Z,90.43
company_1,zone_1,2026-03-06T18:00:00Z,52.55
company_1,zone_1,2026-03-06T19:00:00Z,58.95
company_1,zone_1,2026-03-06T20:00:00Z,47.81
company_1,zone_1,2026-03-06T21:00:00Z,41.97
company_1,zone_1,2026-03-06T22:00:00Z,49.37
