company_id,plant_id,year,month,category,amount_eur,notes
company_2,2001,2026,3,maintenance,1990.46,
company_2,2001,2026,3,cleaning,788.78,
company_2,2001,2026,3,vegetation,699.36,
company_2,2001,2026,3,monitoring,394.06,
company_2,2001,2026,3,repairs,2109.1,
company_2,2001,2026,3,insurance,994.98,
company_2,2001,2026,3,land_lease,1647.86,
company_2,2001,2026,4,maintenance,5994.76,
company_2,2001,2026,4,cleaning,232.95,
company_2,2001,2026,4,vegetation,641.53,
company_2,2001,2026,4,monitoring,457.52,
company_2,2001,2026,4,repairs,1999.99,
company_2,2001,2026,4,insurance,549.22,
company_2,2001,2026,4,land_lease,2643.84,
company_2,2002,2026,3,maintenance,3150.04,
company_2,2002,2026,3,cleaning,276.47,
company_2,2002,2026,3,vegetation,651.51,
company_2,2002,2026,3,monitoring,303.96,
company_2,2002,2026,3,repairs,1516.4,
company_2,2002,2026,3,insurance,984.08,
company_2,2002,2026,3,land_lease,952.22,
company_2,2002,2026,4,maintenance,2537.1,
company_2,2002,2026,4,cleaning,577.86,
company_2,2002,2026,4,vegetation,193.3,
company_2,2002,2026,4,monitoring,389.17,
company_2,2002,2026,4,repairs,1214.26,
company_2,2002,2026,4,insurance,643.24,
company_2,2002,2026,4,land_lease,971.67,
